ID_Faktur ,tgl_trx, Kode_Barang , ID_Apotek ,PelangganID,Kasir_ID,SupplierID,JumlahTerjual,Harga_Satuan,Diskon,TotalPenjualan,Keuntungan,MetodePembayaran,ChannelTransaksi
FKT00001,04-07-2026,PRD012,APT087,PLG146,KRY077,SUP054,2,15500,0.0,31000,7000,Kredit,Apotek Ritel Internal
FKT00002,01/04/2026,PRD030,APT004,PLG016,KRY071,SUP084,2,16500,1600.0,31400,8400,Kredit,Apotek Ritel Internal
FKT00003,05-08-2026,PRD007,APT054,PLG040,KRY079,SUP073,1,30500,0.0,30500,5500,QRIS,Apotek Ritel Internal
FKT00004,21/03/2026,PRD046,APT065,PLG017,KRY033,SUP085,3,41000,18400.0,104600,2600,QRIS,Apotek Ritel Internal
FKT00005,04/11/2026,PRD052,APT061,PLG080,KRY086,SUP006,4,23500,0.0,94000,18000,Tunai,Apotek Ritel Internal
FKT00006,06-04-2026,PRD057,APT033,PLG133,KRY023,SUP067,1,42500,2100.0,40400,8900,Debit,Apotek Ritel Internal
FKT00007,2026-03-02,PRD003,APT083,PLG070,KRY068,SUP006,1,32500,600.0,31900,4900,Kredit,Apotek Ritel Internal
FKT00008,2026-08-22,PRD005,APT087,PLG043,KRY077,SUP086,1,79000,7900.0,71100,3600,Tunai,Apotek Ritel Internal
FKT00009,27-04-2026,PRD001,APT087,PLG004,KRY077,SUP034,1,32000,0.0,32000,6500,QRIS,Apotek Ritel Internal
FKT00010,2026-04-02,PRD099,APT055,PLG108,KRY107,SUP002,2,63000,12600.0,113400,6400,Debit,Apotek Ritel Internal
FKT00011,19-05-2026,PRD066,APT012,PLG014,KRY039,SUP056,1,89500,13400.0,76100,0,Kredit,Apotek Ritel Internal
FKT00012,05/02/2026,PRD101,APT079,PLG080,KRY113,SUP033,1,34000,0.0,34000,7000,QRIS,Apotek Ritel Internal
FKT00013,30/05/2026,PRD034,APT063,PLG119,KRY084,SUP049,3,99500,44800.0,253700,24200,QRIS,Apotek Ritel Internal
FKT00014,07/10/2026,PRD028,APT001,PLG105,KRY072,SUP049,1,62000,1200.0,60800,14800,Tunai,Apotek Ritel Internal
FKT00015,28/11/2026,PRD084,APT029,PLG053,KRY068,SUP096,10,10000,0.0,100000,15000,Tunai,Apotek Ritel Internal
FKT00016,14-03-2026,PRD008,APT093,PLG134,KRY053,SUP075,4,35500,0.0,142000,24000,Tunai,Apotek Ritel Internal
FKT00017,21-05-2026,PRD094,APT007,PLG146,KRY008,SUP075,2,40000,0.0,80000,13000,Debit,Apotek Ritel Internal
FKT00018,11-06-2026,PRD046,APT084,PLG084,KRY095,SUP085,2,40000,0.0,80000,12000,QRIS,Apotek Ritel Internal
