ProdukID,KodeProduk, Nama Produk ,KategoriProduk,JenisProduk,Brand,SupplierID,HargaModal,HargaSatuanDefault,MarginDefault
prd001,KF-P0001,Gel Nyeri Otot Forte,Obat Bebas,Tablet,Kimia Farma,SUP034,25500,32000,0.25
PRD002,KF-P0002,Termometer Digital,Obat Bebas,Salep,NaturaFit,SUP078,43000,51500,0.2
PRD003,KF-P0003,Gel Nyeri Otot Care,Obat Bebas,Salep,CareOne,SUP006,27000,32000,0.18
 PRD004 ,KF-P0004,Termometer Digital Family,Obat Bebas,Sirup,AlkesPro,SUP043,11500,15000,0.3
PRD005,KF-P0005,Tensimeter Digital Forte,Vitamin & Suplemen,Tablet,CareOne,SUP086,67500,79500,0.18
prd006,KF-P0006,Glukosa Test Strip Forte,Vitamin & Suplemen,Botol,CareOne,SUP025,73500,84500,0.15
prd007,KF-P0007,Plester Luka,,Spray,HerbaNusa,SUP073,25000,31000,0.25
 PRD008 ,KF-P0008,Masker Medis 3 Ply Forte,Alat Kesehatan,Masker,AlkesPro,SUP075,29500,35500,0.2
 prd009 ,KF-P0009,Salep Kulit Family,Perawatan Kesehatan,Cairan,NaturaFit,SUP028,59500,77500,0.3
PRD010,KF-P0010,Plester Luka,Alat Kesehatan,Termometer,AlkesPro,SUP085,39000,49000,0.25
PRD011,KF-P0011,Susu Kesehatan Plus,Vitamin & Suplemen,Tablet,MedikaCare,SUP026,42500,49000,0.15
PRD012,KF-P0012,Multivitamin Anak Family,Obat Bebas,Tablet,AlkesPro,SUP054,12000,14500,0.2
prd013,KF-P0013,Glukosa Test Strip Family,,Sirup,MedikaCare,SUP032,66000,79000,0.2
 PRD014 ,KF-P0014,Gel Nyeri Otot,Perawatan Kesehatan,Gel,NaturaFit,SUP023,57000,65500,0.15
 PRD015 ,KF-P0015,Loratadine 10mg Plus,Alat Kesehatan,Masker,BioHealth,SUP018,18500,22000,0.2
PRD016,KF-P0016,Herbal Imun Family,Perawatan Kesehatan,Cairan,BioHealth,SUP071,67500,81000,0.2
 prd017 ,KF-P0017,Sabun Antiseptik Family,Obat Generik,Sirup,VitaPlus,SUP097,60500,71500,0.18
 prd018 ,KF-P0018,Herbal Imun Care,Perawatan Kesehatan,Cairan,HerbaNusa,SUP031,65000,84500,0.3
prd019,KF-P0019,Glukosa Test Strip Forte,Alat Kesehatan,Masker,SehatPlus,SUP043,33000,39000,0.18
prd020,KF-P0020,Amoxicillin 500mg Plus,Herbal,Kapsul,MedikaCare,SUP089,32500,39000,0.2
